Account Name,User ID,Name,Role,Group Name,Group ID,Type,Email,Phone,Location,SFDC URL,Active,Marketing Signals,Intent Score,Intent Type,Last Signal,Event Type,Event Status,Event Date,Event Description
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,CSF,Handraiser,2024-03-01,Contact Sales Form Submitted
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Masterclass,Attended,2024-02-28,Selenium Automation Masterclass
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,StackConnect,Attended,2024-02-15,Leadership Summit NYC
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Simulive,Attended,2024-01-20,CI/CD Trends 2024
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Demo Request,MQL,2023-12-15,Enterprise Demo Request
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Webinar,Registered,2023-11-05,Scaling QA Teams
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Breakpoint,Attended,2023-10-12,Breakpoint 2023
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Dev Meet Up,Attended,2023-09-18,React Testing Workshop
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Webinar,Attended,2023-08-01,Mobile Automation 101
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Whitepaper,Downloaded,2023-06-15,The Future of Testing
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Masterclass,Attended,2023-05-10,Advanced Appium
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Simulive,Registered,2023-03-22,Visual Regression Testing
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,StackConnect,Attended,2023-01-15,EMEA Leadership Summit
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,Webinar,Attended,2022-11-30,Accessibility Testing
Acme Corp,u1,Alex Rivers,QA Manager,Core Platform Team,GID-8821,Paid,alex.rivers@acme.com,+1 (555) 123-4567,"San Francisco, USA",https://salesforce.com/leads/u1,TRUE,15,100,Handraiser,Masterclass: Selenium Automation,CSF,Handraiser,2022-09-01,Initial Sales Inquiry
Acme Corp,u2,Taylor Wong,QA Lead,Mobile App Group,GID-4402,Paid,taylor.w@acme.com,+1 (555) 987-6543,"Austin, USA",https://salesforce.com/leads/u2,TRUE,5,90,Handraiser,Demo Request (Direct MQL),Demo Request,MQL,2024-03-02,Direct Demo Request
Acme Corp,u2,Taylor Wong,QA Lead,Mobile App Group,GID-4402,Paid,taylor.w@acme.com,+1 (555) 987-6543,"Austin, USA",https://salesforce.com/leads/u2,TRUE,5,90,Handraiser,Demo Request (Direct MQL),Breakpoint,Attended,2024-02-20,Breakpoint 2024 Conference
Acme Corp,u2,Taylor Wong,QA Lead,Mobile App Group,GID-4402,Paid,taylor.w@acme.com,+1 (555) 987-6543,"Austin, USA",https://salesforce.com/leads/u2,TRUE,5,90,Handraiser,Demo Request (Direct MQL),Account Specific Webinar,Attended,2024-02-10,Custom Platform Overview
Acme Corp,u3,Sam Chen,SDET,Core Platform Team,GID-8821,Paid,sam.chen@acme.com,+1 (555) 444-5555,"Toronto, Canada",https://salesforce.com/leads/u3,TRUE,1,50,Attendee,Simulive: Mobile Testing Trends,Simulive,Attended,2024-02-25,Mobile Testing Trends
Acme Corp,u4,Casey Lee,Software Engineer,Individual Contributor,GID-9910,Free,casey.l@gmail.com,+1 (555) 222-3333,"London, UK",https://salesforce.com/leads/u4,FALSE,1,20,Registered,1:Many Webinar: Cypress Guide,1:Many Webinar,Registered (No Show),2024-02-29,Cypress Implementation Guide
